date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:22:58	226/226	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Nov%202022%2007:22:58%20GMT	https://dlrp.eu/robots.txt		(from )
08:22:58	12007/12007	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2014:22:02%20GMT	https://dlrp.eu/	E:/DLRP.eu/dlrp.eu/index.html	(from )
08:22:58	627/627	---MC-	200	added ('OK')	text/css	date:Sun,%2027%20Nov%202022%2007:22:59%20GMT	https://fonts.googleapis.com/css?family=Montserrat:400,600,700	E:/DLRP.eu/fonts.googleapis.com/css203a.css	(from https://dlrp.eu/)
08:22:58	10295/10295	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Nov%202022%2007:22:59%20GMT	https://darklife.eu/	E:/DLRP.eu/darklife.eu/index.html	(from https://dlrp.eu/)
08:22:59	990/990	---MC-	200	added ('OK')	text/css	date:Sun,%2027%20Nov%202022%2007:22:59%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:400,400i,700,700i	E:/DLRP.eu/fonts.googleapis.com/css069f.css	(from https://dlrp.eu/)
08:22:59	192348/192348	---M-Z	200	added ('OK')	text/css	etag:%222ef5c-59fa3f5361080-gzip%22	https://dlrp.eu/css/bootstrap.css	E:/DLRP.eu/dlrp.eu/css/bootstrap.css	(from https://dlrp.eu/)
08:22:59	51609/51609	---M-Z	200	added ('OK')	text/css	etag:%22c999-59fa3f6950440-gzip%22	https://dlrp.eu/css/fontawesome-all.css	E:/DLRP.eu/dlrp.eu/css/fontawesome-all.css	(from https://dlrp.eu/)
08:22:59	22256/22256	---M-Z	200	added ('OK')	text/css	etag:%2256f0-59fa3f5fc6dc0-gzip%22	https://dlrp.eu/css/swiper.css	E:/DLRP.eu/dlrp.eu/css/swiper.css	(from https://dlrp.eu/)
08:22:59	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-59fa3f657fb40-gzip%22	https://dlrp.eu/css/magnific-popup.css	E:/DLRP.eu/dlrp.eu/css/magnific-popup.css	(from https://dlrp.eu/)
08:23:00	42802/42802	---M-Z	200	added ('OK')	text/css	etag:%22a732-5d4c9715d2cc0-gzip%22	https://dlrp.eu/css/styles.css	E:/DLRP.eu/dlrp.eu/css/styles.css	(from https://dlrp.eu/)
08:23:00	6789/6789	---M--	200	added ('OK')	image/png	etag:%221a85-5b8f10e791a40%22	https://dlrp.eu/images/dlrp.png	E:/DLRP.eu/dlrp.eu/images/dlrp.png	(from https://dlrp.eu/)
08:23:00	3675470/3675470	---M--	200	added ('OK')	audio/mpeg	etag:%2238154e-5bc2e7db3b4c0%22	https://dlrp.eu/images/music.mp3	E:/DLRP.eu/dlrp.eu/images/music.mp3	(from https://dlrp.eu/)
08:23:00	12007/12007	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2014:22:02%20GMT	https://dlrp.eu/index.html	E:/DLRP.eu/dlrp.eu/index-2.html	(from https://dlrp.eu/)
